#separator:tab
#html:false
Hat	כובע	kova
Glasses	משקפיים	mishkafayim
Sunglasses	משקפי שמש	mish'kfei shemesh
Sock	גרב	gerev
A Piece of Jewellery	תכשיט	takhshit
Jeans	ג'ינס	jins
Swimsuit	בגד ים	beged yam
Jacket	ז'קט	jaket
Sweater	סוודר	sveder
Bracelet	צמיד	tzamid
Scarf	צעיף	tza'if
Pocket	כיס	kayas
Shirt	חולצה	khultzah
Shoe	נעל	na'al
Skirt	חצאית	khatza'it
Dress	שמלה	shimlah
Suit	חליפה	khalifah
Belt	חגורה	khagorah
Glove	כפפה	k'fafah
Ring	טבעת	taba'at
Chain	שרשרת	sharsheret
Costume	תחפושת	takhposhet
Tie	עניבה	anivah
To Wear, Put On (Qal)	ללבוש	lil'bosh
To Wear, Put On (Shoes) (Qal)	לנעול	lin'ol
To Wear (Headgear) (Qal)	לחבוש	lakh'bosh
To Wear, Put On (Ring) (Qal)	לענוד	la'anod
To Put (Qal)	לשים	lasim
To Wear (Glasses) (Hifil)	להרכיב	l'har'kiv
To Wear (Socks) (Qal)	לגרוב	lig'rov
Writes (Qal)	כותב	kotev
Swims (Qal)	שוחה	sokheh
Hears (Qal)	שומע	shome'a
Sleeps (Qal)	ישן	yashen
Touches (Qal)	נוגע	noge'a
Says (Qal)	אומר	omer
Does (Qal)	עושה	oseh
Works (Qal)	עובד	oved
Finds, Encounters (Qal)	מוצא	motze
Supports, Sustains (Qal)	תומך	tomekh
Takes (Qal)	לוקח	lokeakh
Knows (Qal)	יודע	yode'a
Gives, Allows (Qal)	נותן	noten
Buys, Purchases (Qal)	קונה	koneh
Sells (Qal)	מוכר	mokher
Writes, Lists (Qal)	רושם	roshem
Closes, Turns Of (Light, Machine) (Qal)	סוגר	soger
Opens, Turns On (Light, etc) (Qal)	פותח	poteakh
Aches, Feels Pain (Qal)	כואב	ko'ev
Thinks (Qal)	חושב	khoshev
Returns, Comes Back (Qal)	חוזר	khozer
Reads (Qal)	קורא	kore
Guards, Keeps (Qal)	שומר	shomer
Studies, Studies (Qal)	לומד	lomed
Walks, Goes (Qal)	הולך	holekh
Am Angry, Is Mad About... (Qal)	כועס	ko'es
Includes (Qal)	כולל	kolel
Remembers (Qal)	זוכר	zokher
Runs (Qal)	רץ	ratz
Sings (Qal)	שר	shar
Rests (Qal)	נח	nakh
Leaves (Qal)	עוזב	ozev
Weighs; Considers (Qal)	שוקל	shokel
Helps, Assists, Aids (Qal)	עוזר	ozer
Hates, Abhors (Qal)	שונא	sone
Signs, Seals, Finishes (Qal)	חותם	khotem
Dances (Qal)	רוקד	roked
Creates (Qal)	יוצר	yotzer
Stands (Qal)	עומד	omed
Cuts (Qal)	חותך	khotekh
Sits, Settles (Qal)	יושב	yoshev
Grows, Increases (Qal)	גדל	gadel
Forgets (Qal)	שוכח	shokheakh
Watches, Observes (Qal)	צופה	tzofeh
Goes Out, Exits (Qal)	יוצא	yotze
Stares (Qal)	בוהה	boheh
Rents, Hires (Qal)	שוכר	sokher
Sends, Dispatches (Qal)	שולח	sholeakh
Checks, Examines (Qal)	בודק	bodek
